id,label,expiration_date,value,state
0116-H7YFsZkXbAHcBbz4YTQzGx,0116-H7YFsZkXbAHcBbz4YTQzGx,2022-11-30,20,0
0117-j5dHhMNvXUKEF9SNjfnqWL,0117-j5dHhMNvXUKEF9SNjfnqWL,2022-11-30,20,0
0118-gqZKri9mocEML5nVn9UfmP,0118-gqZKri9mocEML5nVn9UfmP,2022-11-30,20,0
0119-WBpEh9LqtgRTdYQ8qEqX47,0119-WBpEh9LqtgRTdYQ8qEqX47,2022-11-30,20,0
0120-KCgTtx4erBR7brck7C7uSa,0120-KCgTtx4erBR7brck7C7uSa,2022-11-30,20,0
0121-8fDQKjFLZpE7CyyxWaVJ86,0121-8fDQKjFLZpE7CyyxWaVJ86,2022-11-30,20,0
0122-7YwqArHfhcCArsYHMEaKWj,0122-7YwqArHfhcCArsYHMEaKWj,2022-11-30,20,0
0123-at4p3R4MTzkJM7CcZS2qtE,0123-at4p3R4MTzkJM7CcZS2qtE,2022-11-30,20,0
0124-4TnsspgMr7Dg37JQgy3JWC,0124-4TnsspgMr7Dg37JQgy3JWC,2022-11-30,20,0
0125-8dheDsRW97Ss9jSRhx8R9b,0125-8dheDsRW97Ss9jSRhx8R9b,2022-11-30,20,0
0126-JiiHh3hnmbsob2BxbRXWzo,0126-JiiHh3hnmbsob2BxbRXWzo,2022-11-30,20,0
0127-B2ptfKGkJd6sDYNH8h3hvu,0127-B2ptfKGkJd6sDYNH8h3hvu,2022-11-30,20,0
0128-NXMctUE4kUiK38rcjJqgUz,0128-NXMctUE4kUiK38rcjJqgUz,2022-11-30,20,0
0129-ZaNxbxQvjX3Qm8fpDjCc8P,0129-ZaNxbxQvjX3Qm8fpDjCc8P,2022-11-30,20,0
0130-PAFLVPVKP3o7cJgZwotXQt,0130-PAFLVPVKP3o7cJgZwotXQt,2022-11-30,20,0
0131-hs3qJXiG2WUV7aaPwBwbgk,0131-hs3qJXiG2WUV7aaPwBwbgk,2022-11-30,20,0
0132-czjXQxHD9euRnBKKRfJYNk,0132-czjXQxHD9euRnBKKRfJYNk,2022-11-30,20,0
0133-ZQHvLtZFL26xUG8qcFdFkx,0133-ZQHvLtZFL26xUG8qcFdFkx,2022-11-30,20,0
0134-QmUGt3Hoc4uu6rHc5K7WXK,0134-QmUGt3Hoc4uu6rHc5K7WXK,2022-11-30,20,0
0135-AiNwGTNdtMcLakBDBHN9Y7,0135-AiNwGTNdtMcLakBDBHN9Y7,2022-11-30,20,0
0136-Na2ebbiiRaxsJUgiCXk2nb,0136-Na2ebbiiRaxsJUgiCXk2nb,2022-11-30,20,0
0137-WzahZtwnUHZ2WLeGqUv8nt,0137-WzahZtwnUHZ2WLeGqUv8nt,2022-11-30,20,0
0138-dvXkqZ7w5Y5heruXDaZmDV,0138-dvXkqZ7w5Y5heruXDaZmDV,2022-11-30,20,0
0139-kdU6dFiiBU8zan82gfFJAe,0139-kdU6dFiiBU8zan82gfFJAe,2022-11-30,20,0
0140-mx8psRijYctkWHwpKP7bJf,0140-mx8psRijYctkWHwpKP7bJf,2022-11-30,20,0
0141-7cDJwbvr3VhoKpfbgKmtmX,0141-7cDJwbvr3VhoKpfbgKmtmX,2022-11-30,20,0
0142-SFaX8a3zzp2jWT2x7gnsAt,0142-SFaX8a3zzp2jWT2x7gnsAt,2022-11-30,20,0
0143-cvauzd6ge9LTUyRkeqMwxM,0143-cvauzd6ge9LTUyRkeqMwxM,2022-11-30,20,0
0144-XGaBvyPzjc2uRS7K4tnUp9,0144-XGaBvyPzjc2uRS7K4tnUp9,2022-11-30,20,0
0145-aU7899XgEk4eg9X6bB4VEa,0145-aU7899XgEk4eg9X6bB4VEa,2022-11-30,20,0
0146-HX8yRVQxxtXwiHnvhZvBoC,0146-HX8yRVQxxtXwiHnvhZvBoC,2022-11-30,20,0
0147-gZfxURpcRrHqmzDcw5cnQU,0147-gZfxURpcRrHqmzDcw5cnQU,2022-11-30,20,0
0148-gAbqrSzzMBgLiDcoGTXQPZ,0148-gAbqrSzzMBgLiDcoGTXQPZ,2022-11-30,20,0
0149-Z2mfMSiBVFiPMutz4NBCAs,0149-Z2mfMSiBVFiPMutz4NBCAs,2022-11-30,20,0
0150-3x6apXmKADDz8aMtFYTeeU,0150-3x6apXmKADDz8aMtFYTeeU,2022-11-30,20,0
0151-jCkQvgYNrxWH2pJedQguFS,0151-jCkQvgYNrxWH2pJedQguFS,2022-11-30,20,0
0152-M4DcYbwpKXBKPEHjDcJKCM,0152-M4DcYbwpKXBKPEHjDcJKCM,2022-11-30,20,0
0153-8uirHoNeon4ELuFCQTKfsn,0153-8uirHoNeon4ELuFCQTKfsn,2022-11-30,20,0
0154-aANWMUUxBp65sgoY3q5FwB,0154-aANWMUUxBp65sgoY3q5FwB,2022-11-30,20,0
0155-S5Ni4V5G2ro7h2c3sqstJf,0155-S5Ni4V5G2ro7h2c3sqstJf,2022-11-30,20,0
0156-4cckTN5qsTEUj2jU549Yju,0156-4cckTN5qsTEUj2jU549Yju,2022-11-30,20,0
0157-G9ptK49hdjeFcpcjcYvsX4,0157-G9ptK49hdjeFcpcjcYvsX4,2022-11-30,20,0
0158-mbdsLLFBii9czPDzWqbBMU,0158-mbdsLLFBii9czPDzWqbBMU,2022-11-30,20,0
0159-YJWSdQpu6WizEQBtniyGG5,0159-YJWSdQpu6WizEQBtniyGG5,2022-11-30,20,0
0160-VZFjD4NhmTRW9eVSDf4Q4J,0160-VZFjD4NhmTRW9eVSDf4Q4J,2022-11-30,20,0
0161-LKTLHpDNjnsiPL5d8WWy8X,0161-LKTLHpDNjnsiPL5d8WWy8X,2022-11-30,20,0
0162-TyUvsxAPbcGkMxqGtL6SGw,0162-TyUvsxAPbcGkMxqGtL6SGw,2022-11-30,20,0
0163-Yx8UTHD4AXFEoXLaSrYbLD,0163-Yx8UTHD4AXFEoXLaSrYbLD,2022-11-30,20,0
0164-XncnoDzyCxZYCiKio9JDN7,0164-XncnoDzyCxZYCiKio9JDN7,2022-11-30,20,0
0165-kjvpgSi6SgvqQrF9AYU5Vc,0165-kjvpgSi6SgvqQrF9AYU5Vc,2022-11-30,20,0
0166-DNsFwGk5cWdwJQUhR3oooi,0166-DNsFwGk5cWdwJQUhR3oooi,2022-11-30,20,0
0167-E97RWcTCuWBLHTZyK5pnNJ,0167-E97RWcTCuWBLHTZyK5pnNJ,2022-11-30,20,0
0168-kDbzw4AbuxqLzFVhGfQtVW,0168-kDbzw4AbuxqLzFVhGfQtVW,2022-11-30,20,0
0169-R6NNpKVqgdDUxbyqs6nKbG,0169-R6NNpKVqgdDUxbyqs6nKbG,2022-11-30,20,0
0170-AsNW6zQecFFhw4NEA8dstd,0170-AsNW6zQecFFhw4NEA8dstd,2022-11-30,20,0
